Time,Slope,Offset,LineType
1555270243.833113,-0.32518386006758154,275.7689326177699,LeftAvg
1555270243.833113,0.2972972972972971,80.7837837837839,RightAvg
1555270243.833113,0.6749621856943452,Maintain Course.
1555270243.898044,-0.32710280373831724,276.1308411214953,LeftAvg
1555270243.898044,0.29687499999999956,81.28125000000016,RightAvg
1555270243.898044,0.7203262562456112,Maintain Course.
1555270243.977088,-0.3221476510067122,275.7516778523491,LeftAvg
1555270243.977088,0.2941176470588249,82.58823529411686,RightAvg
1555270243.977088,0.696708311154976,Maintain Course.
1555270244.051183,-0.3243243243243242,275.8918918918917,LeftAvg
1555270244.051183,0.30487804878048785,77.32926829268288,RightAvg
1555270244.051183,0.4642364983857501,Maintain Course.
1555270244.139439,-0.3221476510067122,275.7516778523491,LeftAvg
1555270244.139439,0.2967032967032971,81.37362637362595,RightAvg
1555270244.139439,0.6273663861087673,Maintain Course.
1555270244.232658,-0.32413793103448246,275.85517241379296,LeftAvg
1555270244.232658,0.2909090909090904,84.29090909090928,RightAvg
1555270244.232658,0.8164293556534168,Maintain Course.
1555270244.297483,-0.32075471698113156,274.90566037735823,LeftAvg
1555270244.297483,0.2967032967032971,81.37362637362595,RightAvg
1555270244.297483,0.5787016122541185,Maintain Course.
1555270244.392265,-0.3221476510067122,275.7516778523491,LeftAvg
1555270244.392265,0.2909090909090904,84.29090909090928,RightAvg
1555270244.392265,0.7784040651812993,Maintain Course.
1555270244.480989,-0.32109164420485126,275.30997304582195,LeftAvg
1555270244.480989,0.29850746268656747,80.20895522388041,RightAvg
1555270244.480989,0.5580439539429682,Maintain Course.
1555270244.545428,-0.324786324786325,275.98290598290606,LeftAvg
1555270244.545428,0.3090909090909089,75.45454545454552,RightAvg
1555270244.545428,0.36709499311876714,Maintain Course.
1555270244.642184,-0.3221476510067122,275.7516778523491,LeftAvg
1555270244.642184,0.2941176470588251,82.52941176470499,RightAvg
1555270244.642184,0.6985137421831772,Maintain Course.
1555270244.709242,-0.31999999999999923,275.6399999999998,LeftAvg
1555270244.709242,0.29508196721311564,81.93442622950771,RightAvg
1555270244.709242,0.6352860430495622,Maintain Course.
1555270244.797043,-0.32453536396489446,275.59699277232846,LeftAvg
1555270244.797043,0.2972972972972971,80.7837837837839,RightAvg
1555270244.797043,0.6588506361066667,Maintain Course.
1555270244.873109,-0.3221476510067122,275.7516778523491,LeftAvg
1555270244.873109,0.2957746478873241,81.80281690140835,RightAvg
1555270244.873109,0.6523462916048298,Maintain Course.
1555270244.95118,-0.31946826758147484,275.5085763293311,LeftAvg
1555270244.95118,0.29885057471264304,80.41379310344867,RightAvg
1555270244.95118,0.5143455825670012,Maintain Course.
1555270245.038175,-0.32539682539682496,276.10317460317447,LeftAvg
1555270245.038175,0.3050847457627107,77.62711864406852,RightAvg
1555270245.038175,0.4719318423455542,Maintain Course.
1555270245.092626,-0.32352941176470545,275.1470588235293,LeftAvg
1555270245.092626,0.29885057471264304,80.41379310344867,RightAvg
1555270245.092626,0.5767910246401551,Maintain Course.
1555270245.171348,-0.3221476510067122,275.7516778523491,LeftAvg
1555270245.171348,0.2941176470588249,82.58823529411686,RightAvg
1555270245.171348,0.696708311154976,Maintain Course.
1555270245.254406,-0.3221476510067122,275.7516778523491,LeftAvg
1555270245.254406,0.3000000000000004,79.8999999999997,RightAvg
1555270245.254406,0.5384321910157073,Maintain Course.
1555270245.343946,-0.32413793103448246,275.85517241379296,LeftAvg
1555270245.343946,0.2957746478873241,81.69014084507026,RightAvg
1555270245.343946,0.6938104983211484,Maintain Course.
1555270245.417695,-0.3220338983050851,275.74576271186453,LeftAvg
1555270245.417695,0.30188679245282973,79.05660377358518,RightAvg
1555270245.417695,0.486219204865601,Maintain Course.
1555270245.501165,-0.32413793103448246,275.85517241379296,LeftAvg
1555270245.501165,0.2972972972972971,80.7837837837839,RightAvg
1555270245.501165,0.659069628535998,Maintain Course.
1555270245.606728,-0.321184995737425,275.4552429667518,LeftAvg
1555270245.606728,0.29824561403508754,80.54385964912291,RightAvg
1555270245.606728,0.5642773586074304,Maintain Course.
1555270245.679051,-0.3203883495145641,274.55339805825275,LeftAvg
1555270245.679051,0.30681818181818127,76.15909090909126,RightAvg
1555270245.679051,0.3157680631653712,Maintain Course.
1555270245.751244,-0.321917808219178,275.41780821917814,LeftAvg
1555270245.751244,0.2962962962962964,81.85185185185175,RightAvg
1555270245.751244,0.616007304809599,Maintain Course.
1555270245.849265,-0.3199999999999995,275.32,LeftAvg
1555270245.849265,0.2941176470588249,82.58823529411686,RightAvg
1555270245.849265,0.6461186292187899,Maintain Course.
1555270245.912237,-0.32413793103448246,275.85517241379296,LeftAvg
1555270245.912237,0.29824561403508754,80.54385964912291,RightAvg
1555270245.912237,0.627788363662289,Maintain Course.
1555270245.993668,-0.321917808219178,275.41780821917814,LeftAvg
1555270245.993668,0.2999999999999991,80.20000000000044,RightAvg
1555270245.993668,0.5159563353299331,Maintain Course.
1555270246.073298,-0.32413793103448246,275.85517241379296,LeftAvg
1555270246.073298,0.300000000000001,79.79999999999953,RightAvg
1555270246.073298,0.5794665332014803,Maintain Course.
1555270246.150346,-0.3222527472527461,275.8263736263734,LeftAvg
1555270246.150346,0.2972972972972971,80.7837837837839,RightAvg
1555270246.150346,0.6250033381685792,Maintain Course.
1555270246.221115,-0.32413793103448246,275.85517241379296,LeftAvg
1555270246.221115,0.2999999999999991,80.20000000000044,RightAvg
1555270246.221115,0.5674303263468288,Maintain Course.
1555270246.31026,-0.32040229885057436,275.0442528735631,LeftAvg
